2025-07-07 17:59:08 status installed systemd-dev:all 255.4-1ubuntu8.8
2025-07-07 17:59:08 configure libsystemd-shared:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:08 status unpacked libsystemd-shared:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:08 status half-configured libsystemd-shared:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:08 status installed libsystemd-shared:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:08 configure systemd:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:08 status unpacked systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:08 status half-configured systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:10 status installed systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:10 configure systemd-timesyncd:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:10 status unpacked systemd-timesyncd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:10 status half-configured systemd-timesyncd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:10 status installed systemd-timesyncd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:10 configure udev:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:10 status unpacked udev:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:10 status half-configured udev:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:11 status installed udev:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:11 configure systemd-resolved:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:11 status unpacked systemd-resolved:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:11 status half-configured systemd-resolved:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 status installed systemd-resolved:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 configure systemd-sysv:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:12 status unpacked systemd-sysv:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 status half-configured systemd-sysv:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 status installed systemd-sysv:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 configure libnss-systemd:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:12 status unpacked libnss-systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 status half-configured libnss-systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 status installed libnss-systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 configure libpam-systemd:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:12 status unpacked libpam-systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 status half-configured libpam-systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 status installed libpam-systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:12 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-07-07 17:59:12 status half-configured man-db:amd64 2.12.0-4build2
2025-07-07 17:59:14 status installed man-db:amd64 2.12.0-4build2
2025-07-07 17:59:14 trigproc dbus:amd64 1.14.10-4ubuntu4.1 <none>
2025-07-07 17:59:14 status half-configured dbus:amd64 1.14.10-4ubuntu4.1
2025-07-07 17:59:14 status installed dbus:amd64 1.14.10-4ubuntu4.1
2025-07-07 17:59:14 trigproc libc-bin:amd64 2.39-0ubuntu8.4 <none>
2025-07-07 17:59:14 status half-configured libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:14 status installed libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:16 startup archives unpack
2025-07-07 17:59:16 upgrade libgnutls30t64:amd64 3.8.3-1.1ubuntu3.2 3.8.3-1.1ubuntu3.3
2025-07-07 17:59:16 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:16 status half-configured libgnutls30t64:amd64 3.8.3-1.1ubuntu3.2
2025-07-07 17:59:16 status unpacked libgnutls30t64:amd64 3.8.3-1.1ubuntu3.2
2025-07-07 17:59:16 status half-installed libgnutls30t64:amd64 3.8.3-1.1ubuntu3.2
2025-07-07 17:59:16 status unpacked libgnutls30t64:amd64 3.8.3-1.1ubuntu3.3
2025-07-07 17:59:16 startup packages configure
2025-07-07 17:59:16 configure libgnutls30t64:amd64 3.8.3-1.1ubuntu3.3 <none>
2025-07-07 17:59:16 status unpacked libgnutls30t64:amd64 3.8.3-1.1ubuntu3.3
2025-07-07 17:59:16 status half-configured libgnutls30t64:amd64 3.8.3-1.1ubuntu3.3
2025-07-07 17:59:16 status installed libgnutls30t64:amd64 3.8.3-1.1ubuntu3.3
2025-07-07 17:59:16 startup packages configure
2025-07-07 17:59:16 trigproc libc-bin:amd64 2.39-0ubuntu8.4 <none>
2025-07-07 17:59:16 status half-configured libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:16 status installed libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:17 startup archives unpack
2025-07-07 17:59:17 upgrade vim:amd64 2:9.1.0016-1ubuntu7.5 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:17 status half-configured vim:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:17 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:17 status half-installed vim:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:17 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:17 upgrade vim-common:all 2:9.1.0016-1ubuntu7.5 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:17 status half-configured vim-common:all 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:17 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:17 status half-installed vim-common:all 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:17 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-07-07 17:59:17 status triggers-pending man-db:amd64 2.12.0-4build2
2025-07-07 17:59:17 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:18 upgrade vim-tiny:amd64 2:9.1.0016-1ubuntu7.5 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:18 status half-configured vim-tiny:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:18 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:18 status half-installed vim-tiny:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:18 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:18 upgrade vim-runtime:all 2:9.1.0016-1ubuntu7.5 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:18 status half-configured vim-runtime:all 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:18 status unpacked vim-runtime:all 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:18 status half-installed vim-runtime:all 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:18 status unpacked vim-runtime:all 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:18 upgrade xxd:amd64 2:9.1.0016-1ubuntu7.5 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:18 status half-configured xxd:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:18 status unpacked xxd:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:18 status half-installed xxd:amd64 2:9.1.0016-1ubuntu7.5
2025-07-07 17:59:19 status unpacked xxd:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 startup packages configure
2025-07-07 17:59:19 configure xxd:amd64 2:9.1.0016-1ubuntu7.8 <none>
2025-07-07 17:59:19 status unpacked xxd:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status half-configured xxd:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status installed xxd:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 configure vim-common:all 2:9.1.0016-1ubuntu7.8 <none>
2025-07-07 17:59:19 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status half-configured vim-common:all 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status installed vim-common:all 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 configure vim-runtime:all 2:9.1.0016-1ubuntu7.8 <none>
2025-07-07 17:59:19 status unpacked vim-runtime:all 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status half-configured vim-runtime:all 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status installed vim-runtime:all 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 configure vim:amd64 2:9.1.0016-1ubuntu7.8 <none>
2025-07-07 17:59:19 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status half-configured vim:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status installed vim:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 configure vim-tiny:amd64 2:9.1.0016-1ubuntu7.8 <none>
2025-07-07 17:59:19 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status half-configured vim-tiny:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 status installed vim-tiny:amd64 2:9.1.0016-1ubuntu7.8
2025-07-07 17:59:19 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-07-07 17:59:19 status half-configured hicolor-icon-theme:all 0.17-2
2025-07-07 17:59:19 status installed hicolor-icon-theme:all 0.17-2
2025-07-07 17:59:19 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-07-07 17:59:19 status half-configured man-db:amd64 2.12.0-4build2
2025-07-07 17:59:19 status installed man-db:amd64 2.12.0-4build2
2025-07-07 17:59:21 startup archives unpack
2025-07-07 17:59:21 upgrade libcap2:amd64 1:2.66-5ubuntu2 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:21 status half-configured libcap2:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status unpacked libcap2:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status half-installed libcap2:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status unpacked libcap2:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 startup packages configure
2025-07-07 17:59:21 configure libcap2:amd64 1:2.66-5ubuntu2.2 <none>
2025-07-07 17:59:21 status unpacked libcap2:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status half-configured libcap2:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status installed libcap2:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 startup archives unpack
2025-07-07 17:59:21 upgrade libpam-cap:amd64 1:2.66-5ubuntu2 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status half-configured libpam-cap:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status unpacked libpam-cap:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status half-installed libpam-cap:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status triggers-pending man-db:amd64 2.12.0-4build2
2025-07-07 17:59:21 status unpacked libpam-cap:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 upgrade libcap2-bin:amd64 1:2.66-5ubuntu2 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status half-configured libcap2-bin:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status unpacked libcap2-bin:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status half-installed libcap2-bin:amd64 1:2.66-5ubuntu2
2025-07-07 17:59:21 status unpacked libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 startup packages configure
2025-07-07 17:59:21 configure libcap2-bin:amd64 1:2.66-5ubuntu2.2 <none>
2025-07-07 17:59:21 status unpacked libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status half-configured libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status installed libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 configure libpam-cap:amd64 1:2.66-5ubuntu2.2 <none>
2025-07-07 17:59:21 status unpacked libpam-cap:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status half-configured libpam-cap:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 status installed libpam-cap:amd64 1:2.66-5ubuntu2.2
2025-07-07 17:59:21 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-07-07 17:59:21 status half-configured man-db:amd64 2.12.0-4build2
2025-07-07 17:59:22 status installed man-db:amd64 2.12.0-4build2
2025-07-07 17:59:22 trigproc libc-bin:amd64 2.39-0ubuntu8.4 <none>
2025-07-07 17:59:22 status half-configured libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:22 status installed libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:23 startup archives unpack
2025-07-07 17:59:23 upgrade krb5-locales:all 1.20.1-6ubuntu2.2 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status half-configured krb5-locales:all 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked krb5-locales:all 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status half-installed krb5-locales:all 1.20.1-6ubuntu2.2
